TMLP_ID	TMLP_ML_ID	TMLP_PART_ID
252	5326	723
253	5327	723
254	5328	631
255	5329	631
256	5330	657
257	5331	631
258	5332	657
259	5333	657
260	5334	657
261	5335	631
262	5336	657
263	5337	657
264	5338	657
265	5339	631
266	5340	657
267	5341	631
268	5342	657
269	5343	631
270	5344	657
271	5345	657
272	5346	657
273	5347	631
274	5348	657
275	5349	657
276	5350	657
277	5351	631
278	5352	657
279	5353	631
280	5354	657
281	5355	631
282	5356	657
283	5357	631
284	5358	657
285	5359	631
286	5360	657
287	5361	631
288	5362	657
289	5363	631
290	5364	631
291	5365	657
292	5366	657
293	5367	631
294	5368	657
295	5369	657
296	5370	631
297	5371	657
298	5372	631
299	5373	631
300	5374	657
301	5375	657
302	5376	631
303	5377	657
304	5378	657
305	5379	657
306	5380	631
307	5381	657
308	5382	631
309	5383	631
310	5384	631
311	5385	631
312	5386	631
313	5387	631
314	5388	602
315	5389	602
316	5390	631
317	5391	602
318	5392	602
319	5393	602
320	5394	602
321	5395	602
322	5396	631
323	5397	602
324	5398	602
325	5399	602
326	5400	602
327	5401	602
328	5402	602
329	5403	602
330	5404	602
331	5405	602
332	5406	602
333	5407	602
334	5408	602
335	5409	602
336	5410	602
337	5411	602
338	5412	602
339	5413	602
340	5414	602
341	5415	602
342	5416	602
343	5417	663
344	5418	663
345	5419	663
346	5420	663
347	5421	663
348	5422	663
349	5423	663
350	5424	663
351	5425	663
352	5426	589
353	5427	663
354	5428	589
355	5429	589
356	5430	589
357	5431	663
358	5432	663
359	5433	589
360	5434	663
361	5435	589
362	5436	589
363	5437	663
364	5438	663
365	5439	663
366	5440	589
367	5441	663
368	5442	589
369	5443	589
370	5444	589
371	5445	663
372	5446	663
373	5447	589
374	5448	589
375	5449	663
376	5450	663
377	5451	663
378	5452	663
379	5453	663
380	5454	663
381	5455	589
382	5456	589
383	5457	663
384	5458	663
385	5459	663
386	5460	589
387	5461	663
388	5462	663
389	5463	663
390	5464	663
391	5465	589
392	5466	663
393	5467	663
394	5468	589
395	5469	663
396	5470	663
397	5471	597
398	5472	666
399	5473	653
400	5474	653
401	5475	653
402	5476	747
403	5477	653
404	5478	653
405	5479	653
406	5480	653
407	5481	652
408	5482	653
409	5483	653
410	5484	653
411	5485	653
412	5486	653
413	5487	648
414	5488	653
415	5489	653
416	5490	648
417	5491	653
418	5492	653
419	5493	653
420	5494	653
421	5495	591
422	5496	653
423	5497	653
424	5498	591
425	5499	653
426	5500	653
427	5501	653
428	5502	653
429	5503	653
430	5504	653
431	5505	653
432	5506	653
433	5507	653
434	5508	653
435	5509	653
436	5510	653
437	5511	653
438	5512	653
439	5513	653
440	5514	653
441	5515	653
442	5516	653
443	5517	653
444	5518	653
445	5519	653
446	5520	653
447	5521	653
448	5522	653
449	5523	653
450	5524	653
451	5526	585
452	5527	585
453	5528	585
454	5529	585
455	5530	585
456	5531	585
457	5532	585
458	5533	585
459	5534	585
460	5535	585
461	5536	585
462	5537	585
463	5538	585
464	5539	585
465	5540	585
466	5541	585
467	5542	585
468	5543	585
469	5544	585
470	5545	585
471	5546	585
472	5547	585
473	5548	585
474	5549	585
475	5550	585
476	5552	594
477	5553	594
478	5554	594
479	5555	594
480	5556	594
481	5557	594
482	5558	594
483	5559	594
484	5560	594
485	5561	594
486	5562	594
487	5563	594
488	5564	594
489	5565	594
490	5566	658
491	5569	747
492	5570	747
493	5571	747
494	5572	747
495	5573	747
496	5574	747
497	5575	747
498	5576	747
499	5577	747
500	5578	747
501	5579	747
502	5580	747
503	5581	747
504	5582	747
505	5583	747
506	5584	747
507	5585	747
508	5586	747
509	5587	747
510	5588	747
511	5589	648
512	5590	747
513	5591	648
514	5592	747
515	5593	747
516	5594	648
517	5595	592
518	5596	592
519	5597	592
520	5598	592
521	5599	592
522	5600	592
523	5601	592
524	5602	592
525	5603	592
526	5604	592
527	5605	592
528	5606	592
529	5607	592
